Rule,Dataset,Cohort_N,Support_n,Coverage_%,TP,FP,Precision_Confidence_%,Recall_Yield_%
Pathway C1: Infancy Protection [b19 <= 6 => Class 0],"Training (Resampled, N=316)",316,5,1.5822784810126582,5,0,100.0,3.1645569620253164
Pathway C2: Protected Well x Metal Roof [b19>6 ^ v158=0 ^ hml20=0 ^ v113=31 ^ v129=31 => Class 1],"Training (Resampled, N=316)",316,124,39.24050632911392,100,24,80.64516129032258,63.29113924050633
Pathway C3: Rainwater x Maternal Illiteracy [b19>6 ^ v158=0 ^ hml20=0 ^ v113=43 ^ v106=0 => Class 1],"Training (Resampled, N=316)",316,49,15.50632911392405,26,23,53.06122448979592,16.455696202531644
"Pathway C4: Borehole/Well x Mud Walls [b19>6 ^ v158=0 ^ hml20=0 ^ v113 in {21,32} ^ v128=21 => Class 1]","Training (Resampled, N=316)",316,28,8.860759493670885,17,11,60.71428571428571,10.759493670886076
Pathway C5: Intervention Paradox [b19>6 ^ v158=0 ^ hml20=1 ^ v119=1 ^ v190<=2 => Class 1],"Training (Resampled, N=316)",316,1,0.31645569620253167,1,0,100.0,0.6329113924050633
Pathway C1: Infancy Protection [b19 <= 6 => Class 0],Clinical Test (N=49),49,1,2.0408163265306123,1,0,100.0,2.5
Pathway C2: Protected Well x Metal Roof [b19>6 ^ v158=0 ^ hml20=0 ^ v113=31 ^ v129=31 => Class 1],Clinical Test (N=49),49,9,18.367346938775512,2,7,22.22222222222222,22.22222222222222
Pathway C3: Rainwater x Maternal Illiteracy [b19>6 ^ v158=0 ^ hml20=0 ^ v113=43 ^ v106=0 => Class 1],Clinical Test (N=49),49,5,10.204081632653061,0,5,0.0,0.0
"Pathway C4: Borehole/Well x Mud Walls [b19>6 ^ v158=0 ^ hml20=0 ^ v113 in {21,32} ^ v128=21 => Class 1]",Clinical Test (N=49),49,4,8.16326530612245,1,3,25.0,11.11111111111111
Pathway C5: Intervention Paradox [b19>6 ^ v158=0 ^ hml20=1 ^ v119=1 ^ v190<=2 => Class 1],Clinical Test (N=49),49,0,0.0,0,0,0.0,0.0
